Date,Hour,sellFullPlannedVolume
2012-02-02,17,115568.602
2012-02-02,18,117541.406
2012-02-02,19,117704.234
2012-02-02,20,115732.828
2012-02-02,21,113725.812
2012-02-02,22,109248.328
2012-02-02,23,104521.273
2012-02-03,0,101371.273
2012-02-03,1,99185.648
2012-02-03,2,97829.391
2012-02-03,3,98557.344
2012-02-03,4,99890.875
2012-02-03,5,102078.539
2012-02-03,6,107355.859
2012-02-03,7,112994.555
2012-02-03,8,117824.211
2012-02-03,9,119749.758
2012-02-03,10,119584.461
2012-02-03,11,118423.680
2012-02-03,12,117788.328
2012-02-03,13,117684.641
2012-02-03,14,117064.688
2012-02-03,15,116726.375
2012-02-03,16,115809.805
2012-02-03,17,116813.383
2012-02-03,18,118586.391
2012-02-03,19,118750.172
2012-02-03,20,116540.539
2012-02-03,21,114294.969
2012-02-03,22,110117.148
2012-02-03,23,105247.867
2012-02-04,0,100800.047
2012-02-04,1,99246.344
2012-02-04,2,98059.055
2012-02-04,3,98103.547
2012-02-04,4,98700.680
2012-02-04,5,100030.359
2012-02-04,6,102460.922
2012-02-04,7,105608.945
2012-02-04,8,108828.430
2012-02-04,9,111141.141
2012-02-04,10,111972.648
2012-02-04,11,111675.461
2012-02-04,12,111103.055
2012-02-04,13,110483.125
2012-02-04,14,110359.781
2012-02-04,15,110286.531
2012-02-04,16,110652.625
2012-02-04,17,112581.336
2012-02-04,18,115028.625
2012-02-04,19,115054.883
2012-02-04,20,113604.406
2012-02-04,21,111443.812
2012-02-04,22,107773.055
2012-02-04,23,103753.500
2012-02-05,0,99194.562
2012-02-05,1,97279.656
2012-02-05,2,96235.531
2012-02-05,3,96239.688
2012-02-05,4,96601.672
2012-02-05,5,97772.008
2012-02-05,6,98834.117
2012-02-05,7,101054.281
2012-02-05,8,103900.445
2012-02-05,9,106365.133
2012-02-05,10,107888.500
2012-02-05,11,108133.141
2012-02-05,12,107694.477
2012-02-05,13,107398.172
2012-02-05,14,107643.297
2012-02-05,15,107860.031
2012-02-05,16,108785.391
2012-02-05,17,111024.852
2012-02-05,18,113813.500
2012-02-05,19,114342.844
2012-02-05,20,112863.172
2012-02-05,21,110559.758
2012-02-05,22,106617.625
2012-02-05,23,102615.945
2012-02-06,0,99595.203
2012-02-06,1,97926.891
2012-02-06,2,96699.062
2012-02-06,3,96607.469
2012-02-06,4,98352.055
2012-02-06,5,100560.641
2012-02-06,6,105915.117
2012-02-06,7,111366.430
2012-02-06,8,116323.648
2012-02-06,9,118092.227
2012-02-06,10,118099.266
2012-02-06,11,116535.234
2012-02-06,12,116382.297
2012-02-06,13,116222.602
2012-02-06,14,116004.422
2012-02-06,15,115678.875
2012-02-06,16,114259.547
2012-02-06,17,114938.297
2012-02-06,18,116987.594
2012-02-06,19,117006.570
2012-02-06,20,114701.953
2012-02-06,21,113069.812
2012-02-06,22,108822.180
2012-02-06,23,103865.211
2012-02-07,0,99922.695
2012-02-07,1,98133.094
2012-02-07,2,97179.586
2012-02-07,3,97610.820
2012-02-07,4,99151.258
2012-02-07,5,101448.898
2012-02-07,6,106880.633
2012-02-07,7,111831.977
2012-02-07,8,116395.180
2012-02-07,9,118356.609
2012-02-07,10,118524.039
2012-02-07,11,117243.789
2012-02-07,12,117099.531
2012-02-07,13,116975.047
2012-02-07,14,116488.961
2012-02-07,15,115954.750
2012-02-07,16,114332.016
2012-02-07,17,115026.281
2012-02-07,18,117014.555
2012-02-07,19,117125.539
2012-02-07,20,114914.648
2012-02-07,21,113283.617
2012-02-07,22,108946.094
2012-02-07,23,103825.094
2012-02-08,0,100402.820
2012-02-08,1,98514.375
2012-02-08,2,97491.039
2012-02-08,3,97890.555
2012-02-08,4,99716.836
2012-02-08,5,101802.016
2012-02-08,6,107337.297
2012-02-08,7,112123.078
2012-02-08,8,116559.031
2012-02-08,9,118315.328
2012-02-08,10,118307.102
2012-02-08,11,116868.664
2012-02-08,12,117211.586
2012-02-08,13,116597.125
2012-02-08,14,116259.203
2012-02-08,15,115846.773
2012-02-08,16,114153.633
2012-02-08,17,114595.758
2012-02-08,18,116814.430
2012-02-08,19,116930.492
2012-02-08,20,114774.305
2012-02-08,21,112947.367
2012-02-08,22,108953.711
2012-02-08,23,104148.891
2012-02-09,0,100238.672
2012-02-09,1,98384.750
2012-02-09,2,97561.492
2012-02-09,3,97697.977
2012-02-09,4,99446.383
2012-02-09,5,101653.398
2012-02-09,6,106891.930
2012-02-09,7,111923.445
2012-02-09,8,116570.180
2012-02-09,9,118269.383
2012-02-09,10,118240.930
2012-02-09,11,116766.133
2012-02-09,12,116886.922
2012-02-09,13,116564.867
2012-02-09,14,116116.094
2012-02-09,15,115754.469
2012-02-09,16,113848.492
2012-02-09,17,114187.477
2012-02-09,18,116450.438
2012-02-09,19,116905.062
2012-02-09,20,114870.336
2012-02-09,21,113028.602
2012-02-09,22,108914.945
2012-02-09,23,104032.695
2012-02-10,0,100799.758
2012-02-10,1,98719.227
2012-02-10,2,97893.039
2012-02-10,3,98074.547
2012-02-10,4,99822.875
2012-02-10,5,102122.938
2012-02-10,6,107505.734
2012-02-10,7,111954.461
2012-02-10,8,116518.242
2012-02-10,9,118323.117
2012-02-10,10,118234.961
2012-02-10,11,116815.664
2012-02-10,12,116770.461
2012-02-10,13,116203.125
2012-02-10,14,115861.531
2012-02-10,15,115467.445
2012-02-10,16,113629.914
2012-02-10,17,113901.742
2012-02-10,18,116019.703
2012-02-10,19,116521.883
2012-02-10,20,114385.875
2012-02-10,21,112834.781
2012-02-10,22,108906.039
2012-02-10,23,104133.992
2012-02-11,0,100308.656
2012-02-11,1,99101.250
2012-02-11,2,97963.508
2012-02-11,3,97643.539
2012-02-11,4,98294.156
2012-02-11,5,99740.430
2012-02-11,6,101823.602
